"n" "N" "gamma.U0" "gamma.UG" "gamma.S0" "gamma.SG" "gamma.SG2" "gamma.SU" "gamma.Y0" "gamma.YG" "gamma.YU" "gamma.YG2" "gamma.UG2" "beta.1" "beta.0" "FSTAT_G2" "FSTAT_G" "BETA_0_EST" "SD BETA_0_EST" "BETA_1_EST" "SD BETA_1_EST" "BETA1_BETA0_EST" "SD BETA1_BETA0_EST" "mean_S_per_n" "mean_G_per_n" "mean_G2_per_n" "mean_Y_per_n" "sd_S_per_n" "sd_G_per_n" "sd_G2_per_n" "sd_Y_per_n"
20000 20000 0 0 -2 0.2 0.4 1.6 3500 0 80 0 0 -200 -100 70.7447911690653 18.5159800480573 -101.730445208437 1.02893161297792 -201.335698989547 0.230413425524996 -99.6052537811091 0.230413425524996 0.236339855 0.54999063 0.40001621 3462.77953884519 0.424829190541565 0.497494655553027 0.489900663908753 476.725701308739
20000 20000 0 0 -2 0.8 0.8 1.6 3500 0 80 0 0 -200 -100 308.771198115669 301.556368856178 -99.5329510519364 0.523488232773554 -199.718458478138 0.228642607917072 -100.185507426202 0.228642607917072 0.307097 0.5500349625 0.399989355 3449.54595432318 0.461287980170504 0.497489985418631 0.489895302992574 477.414722014847
20000 20000 0 0 -2 2 2 1.6 3500 0 80 0 0 -200 -100 1765.36190420065 1818.02146093014 -99.9978680654857 0.214469750393639 -199.979301573541 0.136472801928202 -99.9814335080552 0.136472801928202 0.485189295 0.54998481 0.40001343 3417.43710853662 0.499780593194678 0.4974951033518 0.489900372380433 479.42534101352
20000 20000 0 0 -2 0 0.4 1.6 3500 0 80 0 0 -200 -100 69.1012658406033 1.01134355134549 -99.9456850374205 1.00276126202247 -200.087894525307 0.215677804382763 -100.142209487887 0.215677804382763 0.2224708175 0.550004895 0.4000196575 3465.52874038612 0.415901200254886 0.497493146151424 0.489901439576604 476.598094959106
20000 20000 0 0 -2 0 0.8 1.6 3500 0 80 0 0 -200 -100 285.835564396758 1.00215021657867 -99.8476362548974 0.475177938601167 -199.676475894726 0.191828111470339 -99.8288396398288 0.191828111470339 0.244738165 0.5500042825 0.39998229 3462.04693516143 0.429928200948881 0.497493079944602 0.489893869950341 476.685054612373
20000 20000 0 0 -2 0 2 1.6 3500 0 80 0 0 -200 -100 1850.10080989142 1.01166264252734 -100.063920766766 0.17979141667021 -199.942619724924 0.135716080444134 -99.8786989581583 0.135716080444134 0.3215417025 0.549956005 0.399999825 3450.16834300768 0.467066224441307 0.497498054057265 0.489897504555688 477.388639509051
20000 20000 0 0.8 -2 0.8 0.8 1.6 3500 0 80 0 0 -200 -100 309.753430198001 2013.3598439473 -170.322900181416 0.605612973210096 -119.619697345367 0.360837414738183 50.7032028360491 0.360837414738183 0.421154055 0.550002185 0.4000267575 3461.95079169871 0.493744002541544 0.497493292313226 0.489902978856288 477.103331769441
20000 20000 0 0 -2 0.8 0.8 1.6 3500 80 80 0 0 -200 -100 308.545512855107 301.574935678277 -245.654845383457 0.523790640166974 -83.8012741547702 0.228759259742104 161.853571228687 0.228759259742104 0.30707441 0.55003465 0.4000191825 3493.63110365327 0.461278727553175 0.497490024571452 0.489901498949746 477.126740996927
20000 20000 0 0.8 -2 0.8 0.8 1.6 3500 80 80 0 0 -200 -100 310.123922382216 2013.68893732538 -258.84410289149 0.605401229492083 -19.1991623455237 0.360744541304136 239.644940545966 0.360744541304136 0.4211770125 0.5500323125 0.400012445 3505.95683203161 0.493747549929345 0.497490398159047 0.489899901969286 477.748795054229
