"Est_name" "Method" "Est_value" "SE" "Lower_CI" "Higher_CI" "Pval" "n" "Smoking_var" "E_G_S1"
"Beta_1" "Method_1" -167.620106928112 35.8467541042598 -237.879744972462 -97.3604688837632 2.98596601552278e-06 6316 "b663_yn" 0.559046587215601
"Beta_0" "Method_1" -160.59143367997 38.0802291036549 -235.228682723133 -85.954184636806 2.50835312492994e-05 6316 "b663_yn" 0.559046587215601
"Beta_1-Beta_0" "Method_1" -7.02867324814281 31.9896168489645 -69.7283222721131 55.6709757758275 NA 6316 "b663_yn" 0.559046587215601
"Beta_1" "Method_2" -168.898444872703 41.3701336672733 -249.983906860559 -87.8129828848475 NA 6316 "b663_yn" 0.559046587215601
"Beta_0" "Method_2" -159.378854300932 33.228528938565 -224.506771020519 -94.2509375813447 1.65221376572076e-06 6316 "b663_yn" 0.559046587215601
"Beta_1-Beta_0" "Method_2" -9.51959057177105 24.6445292961138 -57.822867992154 38.7836868486119 0.699305312480309 6316 "b663_yn" 0.559046587215601
