"Est_name" "Method" "Est_value" "SE" "Lower_CI" "Higher_CI" "Pval" "n" "Smoking_var" "E_G_S1"
"Beta_1" "Method_1" -211.503272699849 42.9608347413822 -295.706508792959 -127.30003660674 8.7324507247236e-07 6316 "b665_yn" 0.577625570776256
"Beta_0" "Method_1" -220.183379208236 48.4805452965227 -315.205247989421 -125.161510427052 5.68459889686579e-06 6316 "b665_yn" 0.577625570776256
"Beta_1-Beta_0" "Method_1" 8.68010650838667 42.8078544070878 -75.2232881295054 92.5835011462787 NA 6316 "b665_yn" 0.577625570776256
"Beta_1" "Method_2" -221.927231918415 48.6771312647858 -317.334409197395 -126.520054639435 NA 6316 "b665_yn" 0.577625570776256
"Beta_0" "Method_2" -205.182133914695 40.1121462287482 -283.801940523041 -126.562327306348 3.2265500309974e-07 6316 "b665_yn" 0.577625570776256
"Beta_1-Beta_0" "Method_2" -16.7450980037203 27.576780687613 -70.7955881514418 37.3053921440012 0.543728614197724 6316 "b665_yn" 0.577625570776256
