"Method" "Inst" "Est_value" "SE" "Lower_CI" "Higher_CI" "Pval" "Fstat" "Smoking_var"
"Method_1" "G" 0.12930301056371 0.0685905340250784 -0.00513443612544312 0.263740457252864 0.0594104444421594 3.55376663039906 "b665_yn"
"Method_1" "G2" 1.38656590097946 0.175296416480683 1.04298492467733 1.7301468772816 2.57728244470353e-15 62.5655051163865 "b665_yn"
"Method_2" "G" NA NA NA NA NA NA "b665_yn"
"Method_2" "G2" 1.37924083522653 0.17523941462865 1.03577158255437 1.72271008789868 3.52920293204454e-15 61.9464789611015 "b665_yn"
