"Instrument" "Exposure" "Outcome" "Fstat" "Est_1" "Std_E_1" "T_val_1" "P_val_1" "n_stage1" "Est_2" "Std_E_2" "T_val_2" "P_val_2" "n_stage1" "Confounders"
"weighted_allele_score_sminit" "b663_yn" "kz030" "133.340760420085" "1.504152421821" "0.130259792956173" "11.5473269816042" "7.61521657280262e-31" "7451" "-112.482099439986" "87.3823950689168" "-1.2872398307608" "0.198050756957304" "7451" "PC1-10"
"chr15.78894339_G_A_01" "b663_yn" "kz030" "0.628567535456322" "0.0398493605450931" "0.0502626501447717" "0.792822511951018" "0.42788123858517" "7451" "-1130.37967997131" "1156.99077849393" "-0.976999731530042" "0.328601055070447" "7451" "PC1-10"
"weighted_allele_score_sminit" "b663_yn" "kz030" "83.9435614262143" "1.45607691056353" "0.158924414379475" "9.16207189593131" "5.09103028798403e-20" "6316" "-164.429069473358" "33.241653023066" "-4.9464769203644" "7.75288060609975e-07" "6316" "PC1-10, conf"
"chr15.78894339_G_A_01" "b663_yn" "kz030" "0.023934929265539" "0.00947415732490773" "0.0612384962853426" "0.154709176410254" "0.877050595372829" "6316" "-161.513803680334" "34.8529553209151" "-4.63414944853787" "3.65624794427884e-06" "6316" "PC1-10, conf"
"weighted_allele_score_sminit" "b665_yn" "kz030" "102.076907870016" "1.44714512199187" "0.143234729460386" "10.1033117278453" "5.34075071371898e-24" "7451" "-150.627450500766" "110.268999374726" "-1.36599997601221" "0.171980264630631" "7451" "PC1-10"
"chr15.78894339_G_A_01" "b665_yn" "kz030" "5.29823984577679" "0.128423779711888" "0.0557929905404688" "2.3017905738309" "0.0213469853939429" "7451" "-600.793793455955" "483.580275754663" "-1.24238688709619" "0.214133013890882" "7451" "PC1-10"
"weighted_allele_score_sminit" "b665_yn" "kz030" "61.1713232067814" "1.37167992326182" "0.175379506886417" "7.821209830121" "5.2318051687177e-15" "6316" "-212.639296309966" "40.134477220764" "-5.29817032723065" "1.20938302478584e-07" "6316" "PC1-10, conf"
"chr15.78894339_G_A_01" "b665_yn" "kz030" "2.68586463257692" "0.111796355023568" "0.0682158953829338" "1.63886077278606" "0.101242258929301" "6316" "-210.271936589848" "41.9788986840196" "-5.00899125945612" "5.620654267516e-07" "6316" "PC1-10, conf"
